Algorithm: LRU
C5DC (48DC): 00(0)
A1EC (61EC): 00(0)
4F11 (4111): 00(0)
7BEB (2FEB): FA(-6)
D1F3 (14F3): 7C(124)
6F86 (6D86): 1B(27)
5B6A (506A): 16(22)
52D5 (15D5): 00(0)
DB75 (6275): 00(0)
E07E (167E): 38(56)
9BFD (17FD): 00(0)
8894 (6894): 00(0)
60CD (18CD): 00(0)
A313 (1913): C4(-60)
F464 (1064): 00(0)
E45D (3C5D): 00(0)
517A (1A7A): 14(20)
C095 (2195): 00(0)
9E7C (1B7C): 00(0)
5D20 (1C20): 00(0)
89CE (1DCE): 22(34)
F5B9 (6FB9): 00(0)
DD4A (344A): 37(55)
2B8D (1E8D): 00(0)
9808 (1F08): 00(0)
5B86 (5086): 16(22)
E0F8 (16F8): 00(0)
0C08 (2008): 00(0)
1A15 (2115): 00(0)
C610 (6610): 00(0)
CAAB (6AAB): AA(-86)
F54F (6F4F): 53(83)
4EDC (22DC): 00(0)
04DD (23DD): 00(0)
2FBC (24BC): 00(0)
44C2 (25C2): 11(17)
6FC1 (6DC1): 00(0)
A6C6 (51C6): 29(41)
7482 (2682): 1D(29)
3603 (7A03): 80(-128)
6AC8 (70C8): 00(0)
D05F (0A5F): 17(23)
2D0D (270D): 00(0)
A2F1 (28F1): 00(0)
8462 (2962): 21(33)
131E (351E): 04(4)
E0FF (16FF): 3F(63)
0F1E (4A1E): 03(3)
E4FE (3CFE): 39(57)
7454 (2654): 00(0)
F459 (1059): 00(0)
08FF (09FF): 3F(63)
CACB (6ACB): B2(-78)
186B (2A6B): 1A(26)
94DB (12DB): 36(54)
E7BD (2BBD): 00(0)
EF6F (2C6F): DB(-37)
684B (2D4B): 12(18)
C7F4 (2EF4): 00(0)
E87F (657F): 1F(31)
1CB1 (2FB1): 00(0)
4F65 (4165): 00(0)
9AD1 (30D1): 00(0)
061A (311A): 01(1)
1D9C (329C): 00(0)
1FEA (04EA): 07(7)
F330 (5D30): 00(0)
8BEF (33EF): FB(-5)
6C8E (348E): 1B(27)
3387 (3587): E1(-31)
262C (362C): 00(0)
1D35 (3235): 00(0)
ADA7 (37A7): 69(105)
E89A (659A): 3A(58)
C0C3 (38C3): 30(48)
8EBB (39BB): AE(-82)
30A5 (3AA5): 00(0)
C1E8 (3BE8): 00(0)
6E82 (0882): 1B(27)
AF11 (3C11): 00(0)
2175 (4E75): 00(0)
400F (3D0F): 03(3)
A3CE (19CE): 28(40)
B191 (3E91): 00(0)
8440 (2940): 00(0)
4C2A (582A): 13(19)
44FD (25FD): 00(0)
F955 (5555): 00(0)
A432 (3F32): 29(41)
7100 (4000): 00(0)
77F7 (40F7): FD(-3)
2260 (4160): 00(0)
CC6F (426F): 1B(27)
9777 (4377): DD(-35)
CDE0 (75E0): 00(0)
5F3C (443C): 00(0)
4C92 (5892): 13(19)
E28E (458E): 38(56)
0B67 (4667): D9(-39)
20AA (47AA): 08(8)
45DC (48DC): 00(0)
B2A9 (49A9): 00(0)
BB16 (6416): 2E(46)
E913 (4A13): 44(68)
2891 (4B91): 00(0)
CE2E (4C2E): 33(51)
